Tamanho_N,Algoritmo,Repeticao,No_Fonte,Tempo_s,CO2_Emissoes_kg
17,Dijkstra Min-Heap ((V+E)logV),14,11,4.744529724121094e-05,2.9541482354407494e-09
17,NetworkX (Referência),14,11,0.0001246929168701172,3.2216518491417965e-09
17,Dijkstra Clássico (V^2),14,0,5.9604644775390625e-05,4.299133146735284e-09
17,Dijkstra Min-Heap ((V+E)logV),14,0,7.343292236328125e-05,2.494116795943039e-09
17,NetworkX (Referência),14,0,0.00018715858459472656,2.893738701069976e-09
17,Dijkstra Clássico (V^2),14,7,3.719329833984375e-05,3.1589223669218534e-09
17,Dijkstra Min-Heap ((V+E)logV),14,7,5.888938903808594e-05,2.8575130897475915e-09
17,NetworkX (Referência),14,7,0.00015974044799804688,3.072328065541789e-09
497,Dijkstra Clássico (V^2),0,29,0.002210855484008789,1.11836635632787e-08
497,Dijkstra Min-Heap ((V+E)logV),0,29,0.0007946491241455078,5.727779854846994e-09
497,NetworkX (Referência),0,29,0.0021309852600097656,1.1160386210732244e-08
497,Dijkstra Clássico (V^2),0,321,0.0003063678741455078,3.808944425159001e-09
497,Dijkstra Min-Heap ((V+E)logV),0,321,0.0004975795745849609,4.312746000046355e-09
497,NetworkX (Referência),0,321,0.0029091835021972656,1.3533451442977096e-08
497,Dijkstra Clássico (V^2),0,223,0.001079559326171875,6.3370492156112075e-09
497,Dijkstra Min-Heap ((V+E)logV),0,223,0.0009434223175048828,5.770627810053207e-09
497,NetworkX (Referência),0,223,0.0018875598907470703,1.0281284553118383e-08
497,Dijkstra Clássico (V^2),0,417,0.0003333091735839844,3.751367038542758e-09
497,Dijkstra Min-Heap ((V+E)logV),0,417,0.0004792213439941406,4.915818982044678e-09
497,NetworkX (Referência),0,417,0.003132343292236328,1.5718582471083643e-08
497,Dijkstra Clássico (V^2),0,8,0.001978635787963867,1.0448667803779545e-08
497,Dijkstra Min-Heap ((V+E)logV),0,8,0.0009267330169677734,6.20202741178367e-09
497,NetworkX (Referência),0,8,0.0019228458404541016,1.0155782844034505e-08
497,Dijkstra Clássico (V^2),1,419,0.0005981922149658203,4.688147928044668e-09
497,Dijkstra Min-Heap ((V+E)logV),1,419,0.0005927085876464844,4.697773028340509e-09
497,NetworkX (Referência),1,419,0.002992868423461914,1.4044255793508365e-08
497,Dijkstra Clássico (V^2),1,454,0.0004131793975830078,4.0209807785116226e-09
497,Dijkstra Min-Heap ((V+E)logV),1,454,0.0008463859558105469,5.325555883451196e-09
497,NetworkX (Referência),1,454,0.002222299575805664,1.1241702412271547e-08
497,Dijkstra Clássico (V^2),1,29,0.0021800994873046875,1.1837150210983589e-08
497,Dijkstra Min-Heap ((V+E)logV),1,29,0.0007991790771484375,5.6866089983223265e-09
497,NetworkX (Referência),1,29,0.0019731521606445312,1.0474135939953529e-08
497,Dijkstra Clássico (V^2),1,268,0.0014982223510742188,9.343406785008414e-09
497,Dijkstra Min-Heap ((V+E)logV),1,268,0.0006759166717529297,5.155343644935568e-09
497,NetworkX (Referência),1,268,0.003231048583984375,1.5751327509661926e-08
497,Dijkstra Clássico (V^2),1,289,0.001024007797241211,6.108651679804986e-09
497,Dijkstra Min-Heap ((V+E)logV),1,289,0.0008645057678222656,5.8886554304414575e-09
